*******************************
  /mnt/c/Users/montb/AppData/LocalLow/VRChat/VRChat/output_log_2024-02-29_01-05-27.txt
*******************************
2024.04.20 17:08:51 Video	'https://youtu.be/T7juNI3oZtM?si=mikNolXfjPYxKCOb'
2024.04.20 17:11:32 Video	'https://youtu.be/HCgkeQWbuZs?si=ToeQUlShUB1zrbvj'
2024.04.20 17:16:16 Video	'https://youtu.be/TTfCzJ07gf4?si=88Ou1IhaiLON1VhA'
2024.04.20 17:22:34 Video	'https://youtu.be/_Cj9fzXFaVk?si=9Jl960hQPpAxlwvY'
2024.04.20 17:25:04 Video	'https://youtu.be/DN18vCy9a9E?si=sjvpRsHKCCzcLAOi'
2024.04.20 17:27:43 Video	'https://youtu.be/kN1n-Y_Swuk?si=MsT82vtWETkzqd45'
2024.04.20 17:32:12 Video	'https://youtu.be/7SdRqxyuhNA?si=apIbGjhO7lzJTvSA'
2024.04.20 17:42:16 Video	'https://youtu.be/wnrz8LXdIaI?si=WgMlK6m7fiqvc9CA'
2024.04.20 17:45:12 Video	'https://youtu.be/0cMPRHHizbM?si=arkTZtBV6XCaLB9Z'
2024.04.20 17:46:54 Video	'https://youtu.be/0cMPRHHizbM?si=arkTZtBV6XCaLB9Z'
2024.04.20 17:48:35 Video	'https://youtu.be/tu7zMXofx-0?si=WJFuj6pHwwbWsiai'
2024.04.20 17:50:56 Video	'https://youtu.be/5obWELl1sjo?si=_BDhOpUOEmQuBPXW'
2024.04.20 17:53:08 Video	'https://youtu.be/GtEpCZcHRkw?si=4jHspOM9JNYIMe0L'
2024.04.20 17:55:31 Video	'https://youtu.be/SmWVGN9DXC0?si=y0YbsO8Td0_7ApWI'
2024.04.20 17:59:07 Video	'https://youtu.be/T7juNI3oZtM?si=mikNolXfjPYxKCOb'
2024.04.20 18:01:46 Video	'https://youtu.be/HCgkeQWbuZs?si=ToeQUlShUB1zrbvj'
2024.04.20 18:01:50 In >>	chiffon_pudding
2024.04.20 18:03:40 In >>	つくなぎ
2024.04.20 18:06:30 Video	'https://youtu.be/TTfCzJ07gf4?si=88Ou1IhaiLON1VhA'
2024.04.20 18:08:16 In >>	Starcat_JP
2024.04.20 18:12:49 Video	'https://youtu.be/_Cj9fzXFaVk?si=9Jl960hQPpAxlwvY'
2024.04.20 18:15:17 Video	'https://youtu.be/DN18vCy9a9E?si=sjvpRsHKCCzcLAOi'
2024.04.20 18:15:18 In >>	シェリル（Cheryl_MC）
2024.04.20 18:17:57 Video	'https://youtu.be/kN1n-Y_Swuk?si=MsT82vtWETkzqd45'
2024.04.20 18:22:25 Video	'https://youtu.be/7SdRqxyuhNA?si=apIbGjhO7lzJTvSA'
2024.04.20 18:29:42 In >>	ほしぞらー
2024.04.20 18:32:30 Video	'https://youtu.be/wnrz8LXdIaI?si=WgMlK6m7fiqvc9CA'
2024.04.20 18:35:26 Video	'https://youtu.be/0cMPRHHizbM?si=arkTZtBV6XCaLB9Z'
2024.04.20 18:37:07 Video	'https://youtu.be/0cMPRHHizbM?si=arkTZtBV6XCaLB9Z'
2024.04.20 18:38:48 Video	'https://youtu.be/tu7zMXofx-0?si=WJFuj6pHwwbWsiai'
2024.04.20 18:41:06 Video	'https://youtu.be/5obWELl1sjo?si=_BDhOpUOEmQuBPXW'
2024.04.20 18:43:17 Video	'https://youtu.be/GtEpCZcHRkw?si=4jHspOM9JNYIMe0L'
2024.04.20 18:45:41 Video	'https://youtu.be/SmWVGN9DXC0?si=y0YbsO8Td0_7ApWI'
2024.04.20 18:49:16 Video	'https://youtu.be/T7juNI3oZtM?si=mikNolXfjPYxKCOb'
2024.04.20 18:49:31 Video	'https://www.youtube.com/watch?v=5UNDwg9mJeQ&pp=ygUbZiB6ZXJvIHBvcnQgdG93biBtaWRpIHJlbm94'
2024.04.20 18:56:48 Quit	17778
2024.04.20 18:56:48 Out<<	もん ／ Montblanc
2024.04.20 18:56:48 Out<<	chiffon_pudding
2024.04.20 18:56:48 Out<<	つくなぎ
2024.04.20 18:56:48 Out<<	Starcat_JP
2024.04.20 18:56:48 Out<<	シェリル（Cheryl_MC）
